"File","Close All","Ctrl+X Ctrl+C","In Windows"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"C/C++ Source","Surround With Quick Menu","Shift+Alt+Z","C/C++ Editor"
"Text Editing","Swap Mark","Ctrl+X Ctrl+X","Editing Text"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Refactor - C++","Extract Constant - Refactoring ","Alt+C","C/C++ Editor"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Edit","Undo","Ctrl+/","In Windows"
"Text Editing","Recenter","Ctrl+L","Editing Text"
"Focused UI","Make Landmark","Shift+Ctrl+Alt+Up","In Windows"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Text Editing","Line End","Ctrl+E","Editing Text"
"Navigate","Forward History","Alt+Right","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Edit","Select All","Ctrl+X H","In Dialogs and Windows"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Edit","Toggle Comment","Shift+Ctrl+C","Editing in Structured Text Editors"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Edit","Word Completion","Ctrl+Alt+/","Editing Text"
"C/C++ Source","Show outline","Ctrl+O","C/C++ Editor"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"File","Close","Ctrl+W","In Windows"
"Text Editing","Page Down","Ctrl+V","Editing Text"
"Edit","Previous Sibling","Shift+Ctrl+Up","Editing in Structured Text Editors"
"Text Editing","Text Start","Shift+Alt+<","Editing Text"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Navigate","Next","Ctrl+.","In Windows"
"C/C++ Source","Back","Alt+Left","In Macro Expansion Hover"
"Project","Build All","Ctrl+B","In Windows"
"C/C++ Source","Sort Lines","Ctrl+Alt+S","C/C++ Editor"
"Edit","Context Information","Alt+?","In Windows"
"Reverse Debugging Commands","Uncall","Shift+F7","Debugging C/C++"
"C/C++ Source","Open Declaration","F3","C/C++ Editor"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Text Editing","Cut to Beginning of Line","Esc 0 Ctrl+K","Editing Text"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In C/C++ Views"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Navigate","Deactivate Task","Shift+Ctrl+F9","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"File","Save","Ctrl+X Ctrl+S","In Windows"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Navigate","Open Resource","Ctrl+X Ctrl+F","In Windows"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Z","Editing Text"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks Editor"
"File","Save","Ctrl+S","In Windows"
"Text Editing","Text Start","Esc <","Editing Text"
"C/C++ Source","Remove Block Comment","Shift+Ctrl+\","C/C++ Editor"
"Task Editor","Submit Task","Shift+Alt+S","In Tasks Editor"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"View","Zoom In","Ctrl++","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Project","Make Target Build","Shift+F9","In Windows"
"Text Editing","Cut to Beginning of Line","Alt+0 Ctrl+K","Editing Text"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"File","New","Ctrl+N","In Windows"
"Text Editing","Page Up","Esc V","Editing Text"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Text Editing","Next Word","Alt+F","Editing Text"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"WindowBuilder Pro","Switch Source/Design Views","F12","Editing Text"
"C/C++ Source","Format","Shift+Ctrl+F","C/C++ Editor"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Text Editing","Delete Previous Word","Esc Backspace","Editing Text"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Edit","Copy","Alt+W","In Dialogs and Windows"
"Edit","Undo","F9","In Windows"
"Text Editing","Line Start","Ctrl+A","Editing Text"
"Text Editing","Previous Column","Ctrl+B","Editing Text"
"Edit","Remove Block Comment","Shift+Ctrl+\","Editing in Structured Text Editors"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Edit","Find and Replace","Esc R","In Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Chain Completion Category","Trigger Chain Completion Command","Shift+Ctrl+Space","Editing Java Source"
"C/C++ Source","Comment/Uncomment","Ctrl+/","C/C++ Editor"
"Edit","Cut","Ctrl+W","In Dialogs and Windows"
"Views","Show View (Package Explorer)","Shift+Alt+Q P","In Windows"
"Edit","Paste","Ctrl+Y","In Dialogs and Windows"
"Text Editing","Delete Next","Ctrl+D","In Windows"
"C/C++ Source","Go to Previous Member","Shift+Ctrl+Up","C/C++ Editor"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","In Windows"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Text Editing","Scroll Line Up","Esc Z","Editing Text"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"Text Editing","Page Up","Alt+V","Editing Text"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing in Structured Text Editors"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Edit","Restore Last C/C++ Selection","Shift+Alt+Down","C/C++ Editor"
"Views","Show View (Task List)","Shift+Alt+Q K","In Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Text Editing","Delete Previous Word","Alt+Backspace","Editing Text"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"File","Properties","Alt+Enter","In Windows"
"Navigate","Open Include Browser","Ctrl+Alt+I","C/C++ Editor"
"Refactor - C++","Toggle Function - Refactoring ","Shift+Alt+T","C/C++ Editor"
"Run/Debug","Step Into","F5","Debugging"
"Edit","Context Information","Shift+Alt+?","In Windows"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks Editor"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Navigate","Quick Outline","Shift+Ctrl+O","Task Markup Editor Source Context"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Edit","Redo","F10","In Windows"
"Navigate","Search Repository for Task","Shift+Ctrl+F12","In Windows"
"Text Editing","Clear Mark","Ctrl+G","Editing Text"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Edit","Select Enclosing C/C++ Element","Shift+Alt+Up","C/C++ Editor"
"Run/Debug","Run Android Application","Shift+Alt+A R","In Windows"
"Text Editing","Cut to End of Line","Ctrl+K","Editing Text"
"Navigate","Matching Character","Shift+Ctrl+P","Editing in Structured Text Editors"
"Reverse Debugging Commands","Reverse Resume","Shift+F8","Debugging C/C++"
"C/C++ Source","Add Block Comment","Shift+Ctrl+/","C/C++ Editor"
"C/C++ Source","References","Shift+Ctrl+G","C/C++ Editor"
"Edit","Redo","Shift+Ctrl++","In Windows"
"Edit","Shift Left","Shift+Tab","C/C++ Editor"
"Text Editing","Text Start","Alt+<","Editing Text"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Edit","Copy","Esc W","In Dialogs and Windows"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Run/Debug","Debug","F11","In Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Navigate","Open Maven POM","Shift+Alt+P","In Windows"
"Text Editing","Previous Word","Alt+B","Editing Text"
"Text Editing","Line Start","Home","Editing Text"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"C/C++ Source","Toggle Mark Occurrences","Shift+Alt+O","C/C++ Editor"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"C/C++ Source","Indent Line","Ctrl+I","C/C++ Editor"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Run/Debug","Step Over","F6","Debugging"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks Editor"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Shift+Alt+Down","In Tasks View"
"Refactor - C++","Extract Function - Refactoring ","Shift+Alt+M","C/C++ Editor"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"Edit","Undo","Ctrl+X U","In Windows"
"Text Editing","Next Column","Ctrl+F","Editing Text"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Run/Debug","Display","Shift+Ctrl+V","In Dialogs and Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Window","Show System Menu","Alt+-","In Windows"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing in Structured Text Editors"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"C/C++ Source","Explore Macro Expansion","Ctrl+=","C/C++ Editor"
"File","Close All","Shift+Ctrl+W","In Windows"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Edit","Redo","Shift+Ctrl+Z","In Dialogs and Windows"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Edit","Occurrences in File","Shift+Ctrl+A","Editing in Structured Text Editors"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Run/Debug","Go to Program Counter","Home","In Disassembly"
"Edit","Add Maven Dependency","Shift+Ctrl+D","Editing XML Source"
"Text Editing","Previous Word","Esc B","Editing Text"
"Text Editing","Text End","Shift+Alt+>","Editing Text"
"Project","Rebuild Last Target","F9","In Windows"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Edit","Matching Tag","Shift+Ctrl+>","Editing in Structured Text Editors"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","C/C++ Editor"
"WindowBuilder Pro","Empty command","Shift+Ctrl+A","WindowBuilder Java scope"
"C/C++ Source","Explore Macro Expansion","Ctrl+#","C/C++ Editor"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"C/C++ Source","Forward","Alt+Right","In Macro Expansion Hover"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Edit","Select Next C/C++ Element","Shift+Alt+Right","C/C++ Editor"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"C/C++ Source","Declaration","Ctrl+G","In C/C++ Views"
"C/C++ Source","Open Element","Shift+Ctrl+T","C/C++ Editor"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"C/C++ Source","Go to Matching Bracket","Shift+Ctrl+P","C/C++ Editor"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks View"
"Uncategorized","Copy","Ctrl+C","In Git Reflog View"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Text Editing","Delete Next Word","Alt+Delete","Editing Text"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"C/C++ Source","Go to Next Member","Shift+Ctrl+Down","C/C++ Editor"
"Text Editing","Text End","Ctrl+X ]","Editing Text"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Edit","Find Next","Ctrl+K","Editing Text"
"Text Editing","Next Word","Esc F","Editing Text"
"Text Editing","Line Up","Ctrl+P","Editing Text"
"Navigate","Open Include Browser","Ctrl+Alt+I","In C/C++ Views"
"Reverse Debugging Commands","Reverse Step Into","Shift+F5","Debugging C/C++"
"C/C++ Source","Show Source Quick Menu","Shift+Alt+S","C/C++ Editor"
"Window","Next View","Ctrl+F7","In Windows"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Text Editing","Select Line End","Shift+End","Editing Text"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Focused UI","Show Context Quick View","Shift+Ctrl+Alt+Right","In Windows"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Edit","Context Information","Alt+?","In Windows"
"Edit","Add Block Comment","Shift+Ctrl+/","Editing in Structured Text Editors"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","In C/C++ Views"
"Edit","Incremental Find Reverse","Ctrl+R","Editing Text"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Makefile Source","Uncomment","Ctrl+\","Makefile Editor"
"Navigate","Open Remote Task","Shift+Ctrl+Alt+F12","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor"
"C/C++ Source","Open Declaration","F3","In Macro Expansion Hover"
"Run/Debug","Debug Android Application","Shift+Alt+A D","In Windows"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"C/C++ Source","References","Shift+Ctrl+G","In C/C++ Views"
"Text Editing","Set Mark","Ctrl+2","Editing Text"
"Text Editing","Line End","End","Editing Text"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"C/C++ Source","Open Element","Shift+Ctrl+T","In C/C++ Views"
"File","Rename","F2","In Windows"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks View"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Makefile Source","Comment","Ctrl+/","Makefile Editor"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Task Editor","Maximize Part","Shift+Ctrl+M","In Tasks Editor"
"Git","Commit...","Ctrl+#","In Windows"
"C/C++ Source","Declaration","Ctrl+G","C/C++ Editor"
"File","Print","Esc F9","In Windows"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Edit","Format","Shift+Ctrl+F","Editing in Structured Text Editors"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In C/C++ Views"
"File","Refresh","F5","In Windows"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Views","Show View (Declaration)","Shift+Alt+Q D","In Windows"
"Reverse Debugging Commands","Reverse Step Over","Shift+F6","Debugging C/C++"
"Text Editing","Set Mark","Ctrl+Space","Editing Text"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Run/Debug","Run Maven Build","Shift+Alt+X M","In Windows"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"C/C++ Source","Quick Type Hierarchy","Ctrl+T","C/C++ Editor"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"File","Print","Ctrl+P","In Windows"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks View"
"Edit","Content Assist","Alt+/","In Dialogs and Windows"
"C/C++ Source","Open Declaration","F3","In C/C++ Views"
"Text Editing","Text End","Esc Shift+>","Editing Text"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks Editor"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Text Editing","Delete Next Word","Esc D","Editing Text"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Edit","Incremental Find","Ctrl+S","Editing Text"
"Window","Next Editor","Ctrl+F6","In Windows"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"View","Zoom Out","Ctrl+-","In Windows"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Edit","Delete","Delete","In Windows"
"Views","Show View (Extdoc)","Shift+Alt+Q E","In Windows"
"File","New menu","Shift+Alt+N","In Windows"
"Edit","Find and Replace","Alt+R","In Windows"
"File","Close","Ctrl+F4","In Windows"
"Run/Debug","Go to Address...","Ctrl+G","In Disassembly"
"Text Editing","Text End","Alt+>","Editing Text"
"Edit","Context Information","Shift+Alt+?","In Windows"
"Text Editing","Text End","Esc >","Editing Text"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Edit","Next Sibling","Shift+Ctrl+Down","Editing in Structured Text Editors"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Android Refactorings","Extract Android String","Shift+Alt+A S","In Windows"
"C/C++ Source","Add Include","Shift+Ctrl+N","C/C++ Editor"
"Window","Activate Editor","F12","In Windows"
"Text Editing","Line Down","Ctrl+N","Editing Text"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","C/C++ Editor"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Views","Show View (Type Hierarchy)","Shift+Alt+Q T","In Windows"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Text Editing","Text Start","Ctrl+X [","Editing Text"
"Text Editing","Text Start","Esc Shift+<","Editing Text"
"Edit","Select Previous Element","Shift+Alt+Left","Editing in Structured Text Editors"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks View"
"File","Close","Ctrl+X K","In Windows"
"Window","Switch to Editor","Ctrl+X Ctrl+B","In Windows"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Window","Quick Switch Editor","Ctrl+X B","In Windows"
"Refactor - C++","Extract Local Variable - Refactoring ","Shift+Alt+L","C/C++ Editor"
"File","Save All","Shift+Ctrl+S","In Windows"
"Edit","Select Previous C/C++ Element","Shift+Alt+Left","C/C++ Editor"
"Text Editing","Delete Next Word","Alt+D","Editing Text"
"Edit","Content Assist","Alt+/","In Dialogs and Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Text Editing","Delete Previous","Ctrl+H","In Windows"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"File","Print","Alt+F9","In Windows"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing in Structured Text Editors"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Shift+Alt+Up","In Tasks View"
"Edit","Add Maven Plugin","Shift+Ctrl+P","Editing XML Source"
"Text Editing","Scroll Line Up","Alt+Z","Editing Text"
"File","Save All","Ctrl+X S","In Windows"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"C/C++ Source","Toggle Source/Header","Ctrl+Tab","C/C++ Editor"
"Navigate","Go to Line","Ctrl+X G","Editing Text"
"Edit","Redo","Ctrl+X R","In Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"WindowBuilder Pro","Empty command","Ctrl+Alt+A","WindowBuilder Java scope"
"Focused UI","Make Less Interesting","Shift+Ctrl+Alt+Down","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
